Name,Shop,Distribution,Set,PID,NumJobs,NumMachines,Dimension,Makespan,SDR,Rho
j.orlib.10x10.test.1,j,ORLIB,test,1,10,10,100,1450,MWR,NA
j.orlib.10x10.test.2,j,ORLIB,test,2,10,10,100,1149,MWR,NA
j.orlib.20x15.test.3,j,ORLIB,test,3,20,15,300,863,MWR,NA
j.orlib.20x15.test.4,j,ORLIB,test,4,20,15,300,839,MWR,NA
j.orlib.20x15.test.5,j,ORLIB,test,5,20,15,300,855,MWR,NA
j.orlib.6x6.test.6,j,ORLIB,test,6,6,6,36,59,MWR,NA
j.orlib.10x10.test.7,j,ORLIB,test,7,10,10,100,1236,MWR,NA
j.orlib.20x5.test.8,j,ORLIB,test,8,20,5,100,1544,MWR,NA
j.orlib.10x5.test.9,j,ORLIB,test,9,10,5,50,701,MWR,NA
j.orlib.10x5.test.10,j,ORLIB,test,10,10,5,50,717,MWR,NA
j.orlib.10x5.test.11,j,ORLIB,test,11,10,5,50,723,MWR,NA
j.orlib.10x5.test.12,j,ORLIB,test,12,10,5,50,638,MWR,NA
j.orlib.10x5.test.13,j,ORLIB,test,13,10,5,50,620,MWR,NA
j.orlib.15x5.test.14,j,ORLIB,test,14,15,5,75,1048,MWR,NA
j.orlib.15x5.test.15,j,ORLIB,test,15,15,5,75,955,MWR,NA
j.orlib.15x5.test.16,j,ORLIB,test,16,15,5,75,1181,MWR,NA
j.orlib.15x5.test.17,j,ORLIB,test,17,15,5,75,938,MWR,NA
j.orlib.15x5.test.18,j,ORLIB,test,18,15,5,75,1122,MWR,NA
j.orlib.20x5.test.19,j,ORLIB,test,19,20,5,100,1466,MWR,NA
j.orlib.20x5.test.20,j,ORLIB,test,20,20,5,100,1064,MWR,NA
j.orlib.20x5.test.21,j,ORLIB,test,21,20,5,100,1237,MWR,NA
j.orlib.20x5.test.22,j,ORLIB,test,22,20,5,100,1255,MWR,NA
j.orlib.20x5.test.23,j,ORLIB,test,23,20,5,100,1394,MWR,NA
j.orlib.10x10.test.24,j,ORLIB,test,24,10,10,100,1086,MWR,NA
j.orlib.10x10.test.25,j,ORLIB,test,25,10,10,100,917,MWR,NA
j.orlib.10x10.test.26,j,ORLIB,test,26,10,10,100,1112,MWR,NA
j.orlib.10x10.test.27,j,ORLIB,test,27,10,10,100,1119,MWR,NA
j.orlib.10x10.test.28,j,ORLIB,test,28,10,10,100,1029,MWR,NA
j.orlib.15x10.test.29,j,ORLIB,test,29,15,10,150,1394,MWR,NA
j.orlib.15x10.test.30,j,ORLIB,test,30,15,10,150,1221,MWR,NA
j.orlib.15x10.test.31,j,ORLIB,test,31,15,10,150,1370,MWR,NA
j.orlib.15x10.test.32,j,ORLIB,test,32,15,10,150,1157,MWR,NA
j.orlib.15x10.test.33,j,ORLIB,test,33,15,10,150,1265,MWR,NA
j.orlib.20x10.test.34,j,ORLIB,test,34,20,10,200,1532,MWR,NA
j.orlib.20x10.test.35,j,ORLIB,test,35,20,10,200,1623,MWR,NA
j.orlib.20x10.test.36,j,ORLIB,test,36,20,10,200,1407,MWR,NA
j.orlib.20x10.test.37,j,ORLIB,test,37,20,10,200,1497,MWR,NA
j.orlib.20x10.test.38,j,ORLIB,test,38,20,10,200,1500,MWR,NA
j.orlib.30x10.test.39,j,ORLIB,test,39,30,10,300,1976,MWR,NA
j.orlib.30x10.test.40,j,ORLIB,test,40,30,10,300,2415,MWR,NA
j.orlib.30x10.test.41,j,ORLIB,test,41,30,10,300,1942,MWR,NA
j.orlib.30x10.test.42,j,ORLIB,test,42,30,10,300,1971,MWR,NA
j.orlib.30x10.test.43,j,ORLIB,test,43,30,10,300,2134,MWR,NA
j.orlib.15x15.test.44,j,ORLIB,test,44,15,15,225,1431,MWR,NA
j.orlib.15x15.test.45,j,ORLIB,test,45,15,15,225,1676,MWR,NA
j.orlib.15x15.test.46,j,ORLIB,test,46,15,15,225,1473,MWR,NA
j.orlib.15x15.test.47,j,ORLIB,test,47,15,15,225,1486,MWR,NA
j.orlib.15x15.test.48,j,ORLIB,test,48,15,15,225,1579,MWR,NA
j.orlib.10x10.test.49,j,ORLIB,test,49,10,10,100,1420,MWR,NA
j.orlib.10x10.test.50,j,ORLIB,test,50,10,10,100,1145,MWR,NA
j.orlib.10x10.test.51,j,ORLIB,test,51,10,10,100,1312,MWR,NA
j.orlib.10x10.test.52,j,ORLIB,test,52,10,10,100,1188,MWR,NA
j.orlib.10x10.test.53,j,ORLIB,test,53,10,10,100,1244,MWR,NA
j.orlib.10x10.test.54,j,ORLIB,test,54,10,10,100,1387,MWR,NA
j.orlib.10x10.test.55,j,ORLIB,test,55,10,10,100,506,MWR,NA
j.orlib.10x10.test.56,j,ORLIB,test,56,10,10,100,1215,MWR,NA
j.orlib.10x10.test.57,j,ORLIB,test,57,10,10,100,1200,MWR,NA
j.orlib.10x10.test.58,j,ORLIB,test,58,10,10,100,1411,MWR,NA
j.orlib.20x10.test.59,j,ORLIB,test,59,20,10,200,2057,MWR,NA
j.orlib.20x10.test.60,j,ORLIB,test,60,20,10,200,2099,MWR,NA
j.orlib.20x10.test.61,j,ORLIB,test,61,20,10,200,1895,MWR,NA
j.orlib.20x10.test.62,j,ORLIB,test,62,20,10,200,2124,MWR,NA
j.orlib.20x10.test.63,j,ORLIB,test,63,20,10,200,1938,MWR,NA
j.orlib.20x15.test.64,j,ORLIB,test,64,20,15,300,2316,MWR,NA
j.orlib.20x15.test.65,j,ORLIB,test,65,20,15,300,2221,MWR,NA
j.orlib.20x15.test.66,j,ORLIB,test,66,20,15,300,2568,MWR,NA
j.orlib.20x15.test.67,j,ORLIB,test,67,20,15,300,2342,MWR,NA
j.orlib.20x15.test.68,j,ORLIB,test,68,20,15,300,2738,MWR,NA
j.orlib.50x10.test.69,j,ORLIB,test,69,50,10,500,4521,MWR,NA
j.orlib.50x10.test.70,j,ORLIB,test,70,50,10,500,4379,MWR,NA
j.orlib.50x10.test.71,j,ORLIB,test,71,50,10,500,4479,MWR,NA
j.orlib.50x10.test.72,j,ORLIB,test,72,50,10,500,4025,MWR,NA
j.orlib.50x10.test.73,j,ORLIB,test,73,50,10,500,4384,MWR,NA
j.orlib.50x10.test.74,j,ORLIB,test,74,50,10,500,3000,MWR,NA
j.orlib.50x10.test.75,j,ORLIB,test,75,50,10,500,2912,MWR,NA
j.orlib.50x10.test.76,j,ORLIB,test,76,50,10,500,2988,MWR,NA
j.orlib.50x10.test.77,j,ORLIB,test,77,50,10,500,3126,MWR,NA
j.orlib.50x10.test.78,j,ORLIB,test,78,50,10,500,2840,MWR,NA
j.orlib.20x20.test.79,j,ORLIB,test,79,20,20,400,1119,MWR,NA
j.orlib.20x20.test.80,j,ORLIB,test,80,20,20,400,1120,MWR,NA
j.orlib.20x20.test.81,j,ORLIB,test,81,20,20,400,1213,MWR,NA
