Problem,Step,PID,rnd,unique
j.rnd,1,1,0.8,8
j.rnd,1,2,0.9,9
j.rnd,1,3,0.8,8
j.rnd,1,4,0.5,5
j.rnd,1,5,0.6,6
j.rnd,1,6,0.7,7
j.rnd,1,7,0.5,5
j.rnd,1,8,0.7,7
j.rnd,1,9,0.7,7
j.rnd,1,10,0.7,7
j.rnd,1,11,0.7,7
j.rnd,1,12,0.8,8
j.rnd,1,13,0.6,6
j.rnd,1,14,1,10
j.rnd,1,15,0.8,8
j.rnd,1,16,0.7,7
j.rnd,1,17,0.6,6
j.rnd,1,18,0.6,6
j.rnd,1,19,0.8,8
j.rnd,1,20,0.6,6
j.rnd,1,21,0.5,5
j.rnd,1,22,0.8,8
j.rnd,1,23,0.8,8
j.rnd,1,24,0.5,5
j.rnd,1,25,0.8,8
j.rnd,1,26,0.8,8
j.rnd,1,27,0.8,8
j.rnd,1,28,0.6,6
j.rnd,1,29,0.6,6
j.rnd,1,30,0.9,9
j.rnd,1,31,0.5,5
j.rnd,1,32,0.6,6
j.rnd,1,33,0.8,8
j.rnd,1,34,0.7,7
j.rnd,1,35,0.9,9
j.rnd,1,36,1,10
j.rnd,1,37,0.7,7
j.rnd,1,38,0.5,5
j.rnd,1,39,0.8,8
j.rnd,1,40,0.4,4
j.rnd,1,41,1,10
j.rnd,1,42,0.6,6
j.rnd,1,43,0.5,5
j.rnd,1,44,0.5,5
j.rnd,1,45,0.4,4
j.rnd,1,46,0.5,5
j.rnd,1,47,0.7,7
j.rnd,1,48,0.8,8
j.rnd,1,49,0.8,8
j.rnd,1,50,0.5,5
j.rnd,1,51,0.6,6
j.rnd,1,52,0.7,7
j.rnd,1,53,0.6,6
j.rnd,1,54,0.7,7
j.rnd,1,55,0.7,7
j.rnd,1,56,0.8,8
j.rnd,1,57,0.5,5
j.rnd,1,58,0.9,9
j.rnd,1,59,0.8,8
j.rnd,1,60,0.8,8
j.rnd,1,61,0.7,7
j.rnd,1,62,0.9,9
j.rnd,1,63,0.9,9
j.rnd,1,64,0.8,8
j.rnd,1,65,0.7,7
j.rnd,1,66,0.3,3
j.rnd,1,67,0.6,6
j.rnd,1,68,0.6,6
j.rnd,1,69,0.5,5
j.rnd,1,70,0.8,8
j.rnd,1,71,0.6,6
j.rnd,1,72,0.7,7
j.rnd,1,73,0.8,8
j.rnd,1,74,0.6,6
j.rnd,1,75,0.7,7
j.rnd,1,76,0.9,9
j.rnd,1,77,0.8,8
j.rnd,1,78,0.7,7
j.rnd,1,79,0.7,7
j.rnd,1,80,0.6,6
j.rnd,1,81,0.9,9
j.rnd,1,82,0.9,9
j.rnd,1,83,0.6,6
j.rnd,1,84,0.8,8
j.rnd,1,85,0.8,8
j.rnd,1,86,0.8,8
j.rnd,1,87,0.7,7
j.rnd,1,88,0.8,8
j.rnd,1,89,0.9,9
j.rnd,1,90,0.8,8
j.rnd,1,91,0.9,9
j.rnd,1,92,1,10
j.rnd,1,93,0.4,4
j.rnd,1,94,0.5,5
j.rnd,1,95,0.8,8
j.rnd,1,96,0.9,9
j.rnd,1,97,0.6,6
j.rnd,1,98,0.9,9
j.rnd,1,99,0.8,8
j.rnd,1,100,0.7,7
j.rnd,1,101,0.8,8
j.rnd,1,102,1,10
j.rnd,1,103,0.8,8
j.rnd,1,104,0.6,6
j.rnd,1,105,0.8,8
j.rnd,1,106,0.9,9
j.rnd,1,107,0.8,8
j.rnd,1,108,0.6,6
j.rnd,1,109,0.6,6
j.rnd,1,110,0.9,9
j.rnd,1,111,0.6,6
j.rnd,1,112,0.8,8
j.rnd,1,113,0.8,8
j.rnd,1,114,0.9,9
j.rnd,1,115,0.7,7
j.rnd,1,116,0.8,8
j.rnd,1,117,0.9,9
j.rnd,1,118,0.5,5
j.rnd,1,119,0.8,8
j.rnd,1,120,0.7,7
j.rnd,1,121,0.8,8
j.rnd,1,122,0.9,9
j.rnd,1,123,0.8,8
j.rnd,1,124,0.6,6
j.rnd,1,125,0.8,8
j.rnd,1,126,0.8,8
j.rnd,1,127,0.6,6
j.rnd,1,128,0.7,7
j.rnd,1,129,0.5,5
j.rnd,1,130,0.9,9
j.rnd,1,131,0.8,8
j.rnd,1,132,0.5,5
j.rnd,1,133,0.7,7
j.rnd,1,134,0.7,7
j.rnd,1,135,0.9,9
j.rnd,1,136,0.4,4
j.rnd,1,137,0.6,6
j.rnd,1,138,0.4,4
j.rnd,1,139,0.5,5
j.rnd,1,140,0.9,9
j.rnd,1,141,0.6,6
j.rnd,1,142,1,10
j.rnd,1,143,0.9,9
j.rnd,1,144,0.7,7
j.rnd,1,145,0.8,8
j.rnd,1,146,0.9,9
j.rnd,1,147,0.5,5
j.rnd,1,148,0.8,8
j.rnd,1,149,0.6,6
j.rnd,1,150,0.8,8
j.rnd,1,151,0.9,9
j.rnd,1,152,1,10
j.rnd,1,153,0.7,7
j.rnd,2,1,0,0
j.rnd,2,2,0,0
j.rnd,2,3,0,0
j.rnd,2,4,0,0
j.rnd,2,5,0,0
j.rnd,2,6,0.6,6
j.rnd,2,7,0.4,4
j.rnd,2,8,0.6,6
j.rnd,2,9,0,0
j.rnd,2,10,0.7,7
j.rnd,2,11,0,0
j.rnd,2,12,0.7,7
j.rnd,2,13,0.6,6
j.rnd,2,14,1,10
j.rnd,2,15,0.8,8
j.rnd,2,16,0.6,6
j.rnd,2,17,0.7,7
j.rnd,2,18,0.6,6
j.rnd,2,19,0.8,8
j.rnd,2,20,0,0
j.rnd,2,21,0,0
j.rnd,2,22,0,0
j.rnd,2,23,0.7,7
j.rnd,2,24,0.5,5
j.rnd,2,25,0,0
j.rnd,2,26,0.8,8
j.rnd,2,27,0.8,8
j.rnd,2,28,0,0
j.rnd,2,29,0.6,6
j.rnd,2,30,0.8,8
j.rnd,2,31,0.5,5
j.rnd,2,32,0.6,6
j.rnd,2,33,0.8,8
j.rnd,2,34,0.7,7
j.rnd,2,35,0.9,9
j.rnd,2,36,1,10
j.rnd,2,37,0.6,6
j.rnd,2,38,0,0
j.rnd,2,39,0,0
j.rnd,2,40,0.4,4
j.rnd,2,41,0.9,9
j.rnd,2,42,0,0
j.rnd,2,43,0.6,6
j.rnd,2,44,0.4,4
j.rnd,2,45,0,0
j.rnd,2,46,0,0
j.rnd,2,47,0,0
j.rnd,2,48,0.8,8
j.rnd,2,49,0,0
j.rnd,2,50,0.6,6
j.rnd,2,51,0.6,6
j.rnd,2,52,0.8,8
j.rnd,2,53,0.6,6
j.rnd,2,54,0.6,6
j.rnd,2,55,0.6,6
j.rnd,2,56,0.7,7
j.rnd,2,57,0,0
j.rnd,2,58,0.8,8
j.rnd,2,59,0,0
j.rnd,2,60,0,0
j.rnd,2,61,0.6,6
j.rnd,2,62,0.9,9
j.rnd,2,63,0.9,9
